
bitch,0
fuck,0
whore,0
suck,0
asshole,0
shit,0
cunt,0
putin,0
bitch,831
fuck,14309
whore,1785
suck,13431
asshole,0
shit,0
cunt,0
putin,0
bitch,0,2017-01-19
fuck,0,2017-01-19
whore,0,2017-01-19
suck,0,2017-01-19
asshole,0,2017-01-19
shit,0,2017-01-19
cunt,0,2017-01-19
putin,0,2017-01-19
bitcoin law,17,2017-01-20
asshole,1155,2017-01-20
asshole,1155,2017-01-19
shit,98,2017-01-19
asshole,1692,2017-01-19
shit,2031,2017-01-19
shit,0,2017-05-11
cunt,0,2017-05-11
putin,0,2017-05-11
shit,1515,2017-05-11
cunt,20,2017-05-11
asshole,127,2017-05-20
asshole,136,2017-05-19
bitch,4609,2017-05-20
fuck,0,2017-05-20
whore,0,2017-05-20
suck,0,2017-05-20
asshole,0,2017-05-20
shit,0,2017-05-20
cunt,0,2017-05-20
putin,0,2017-05-20
bitch,0,2017-05-20
fuck,0,2017-05-20
whore,0,2017-05-20
suck,0,2017-05-20
bitch,620,2017-05-20
fuck,1057,2017-05-20
whore,148,2017-05-20
suck,396,2017-05-20
asshole,77,2017-05-20
shit,51,2017-05-20
cunt,0,2017-05-20
putin,80,2017-05-20
bitch,0,2017-05-20
fuck,0,2017-05-20
whore,0,2017-05-20
suck,0,2017-05-20
asshole,45,2017-05-20
shit,0,2017-05-20
cunt,0,2017-05-20
putin,20,2017-05-20
bitch,174,2017-05-20
fuck,77,2017-05-20
whore,216,2017-05-20
suck,376,2017-05-20
asshole,201,2017-05-20
shit,229,2017-05-20
cunt,154,2017-05-20
putin,0,2017-05-20
putin,0,2017-07-20
putin,0,2017-07-20
